frame,topic,value,frame_id,topic_id
crisis,event_itself,0.09375,4,2
economic,event_itself,0.0,3,2
heritage,event_itself,0.0681818181818181,2,2
spectacle,event_itself,0.1607324516785351,1,2
technical,event_itself,0.0952380952380952,0,2
crisis,cultural_heritage,0.0,4,0
economic,cultural_heritage,0.12,3,0
heritage,cultural_heritage,0.6558441558441559,2,0
spectacle,cultural_heritage,0.479145473041709,1,0
technical,cultural_heritage,0.0476190476190476,0,0
crisis,tourism_mass,0.0625,4,4
economic,tourism_mass,0.12,3,4
heritage,tourism_mass,0.0129870129870129,2,4
spectacle,tourism_mass,0.0325534079348931,1,4
technical,tourism_mass,0.0,0,4
crisis,economic_frame,0.0,4,1
economic,economic_frame,0.2,3,1
heritage,economic_frame,0.0032467532467532,2,1
spectacle,economic_frame,0.0040691759918616,1,1
technical,economic_frame,0.0,0,1
crisis,other,0.84375,4,3
economic,other,0.56,3,3
heritage,other,0.2597402597402597,2,3
spectacle,other,0.323499491353001,1,3
technical,other,0.8571428571428571,0,3
