Place Name,Lattitude,Longitude,Place ID,Author,Rating,Comment,Time,Unnamed: 8,Unnamed: 9,Unnamed: 10,sentiment_score
Magic Venice Carnival,45.43528,12.35306,ChIJ61lLBdixfkcR2X63a6rGu98,Steve Ralph,5,"Carnival in Venice is fantastic to see as a spectator, as we did this year in February.
You will witness ordinary people strolling the streets in extraordinary outfits.
These outfits are not cheap. The last price I heard was â¬500 a day as the norm.
That was several years ago.
Or you could be wearing the outfit and be famous for a day or more as hundreds take your picture.
There are also masked balls, dinners, afternoon tea, etc.

We did take part some years back, and it was a blast.",30-10-2024 14:11,,,,0.5574
Magic Venice Carnival,45.43528,12.35306,ChIJ61lLBdixfkcR2X63a6rGu98,shirley reliable,5,"Three year ago, I went to Italy for hoilday, and it is the first time to buy the doll from yours, nice people and lovely Triangel.        Last month, it is the 2nd time to buy the doll on line with a discount price.   Although it is discount price,  but the quality was the same and the dolls was so nice and I love it very much, and it is a very good Christmas gift for me.      I like the smile face for the Triangel the most, hope to see you again in Italy very soon.

Thanks again Grace for helping me to buy the wedding gift for friend!   It is so nice for a couple doll with the sofa.
I am also buying the birthday gift for me, the green cuddle triangle is so lovely with the smiling face!    Stay well and always have a good day for you!",26-03-2022 01:01,,,,0.9978
Magic Venice Carnival,45.43528,12.35306,ChIJ61lLBdixfkcR2X63a6rGu98,Cody P,5,"We truly loved this shop! When we came to Venice we knew that we wanted some REAL Venetian masks, not the fake ones you see on the streets. I picked out a couple, some were gifts and the recipients loved them! They have a wide selection of designs and styles, and all are reasonably priced considering that they are hand made - and the quality is top-notch! I could have spent hours in this store, and I'd love to come back someday if I find myself in Venice again. Thank you for our favorite gifts from Italy!",03-09-2022 19:09,,,,0.9805
Magic Venice Carnival,45.43528,12.35306,ChIJ61lLBdixfkcR2X63a6rGu98,Yuxin Liu,5,Strongly recommended for someone who visit Venice and is interested in hand-made local souvenirs. Everything inside is amazingly beautiful. The owners are very patient and helpful. Will visit this shop again next time in Venice!!,07-06-2023 21:16,,,,0.9252
Magic Venice Carnival,45.43528,12.35306,ChIJ61lLBdixfkcR2X63a6rGu98,Hui Carmen,5,"I had a wonderful shopping experience! The TriAngel is beautifully crafted with intricate details. The costume is stunning, and its facial expression is lively and warm. The seller was incredibly kind, even including a small Christmas gift for me. I wish the shop all the best and will definitely recommend it to my friends for purchasing TriAngels!",17-12-2024 13:15,,,,0.9889
Magic Venice Carnival,45.43528,12.35306,ChIJ61lLBdixfkcR2X63a6rGu98,Steve Ralph,5,"Carnival in Venice is fantastic to see as a spectator, as we did this year in February.
You will witness ordinary people strolling the streets in extraordinary outfits.
These outfits are not cheap. The last price I heard was â¬500 a day as the norm.
That was several years ago.
Or you could be wearing the outfit and be famous for a day or more as hundreds take your picture.
There are also masked balls, dinners, afternoon tea, etc.

We did take part some years back, and it was a blast.",30-10-2024 14:11,,,,0.5574
Magic Venice Carnival,45.43528,12.35306,ChIJ61lLBdixfkcR2X63a6rGu98,shirley reliable,5,"Three year ago, I went to Italy for hoilday, and it is the first time to buy the doll from yours, nice people and lovely Triangel.        Last month, it is the 2nd time to buy the doll on line with a discount price.   Although it is discount price,  but the quality was the same and the dolls was so nice and I love it very much, and it is a very good Christmas gift for me.      I like the smile face for the Triangel the most, hope to see you again in Italy very soon.

Thanks again Grace for helping me to buy the wedding gift for friend!   It is so nice for a couple doll with the sofa.
I am also buying the birthday gift for me, the green cuddle triangle is so lovely with the smiling face!    Stay well and always have a good day for you!",26-03-2022 01:01,,,,0.9978
Magic Venice Carnival,45.43528,12.35306,ChIJ61lLBdixfkcR2X63a6rGu98,Cody P,5,"We truly loved this shop! When we came to Venice we knew that we wanted some REAL Venetian masks, not the fake ones you see on the streets. I picked out a couple, some were gifts and the recipients loved them! They have a wide selection of designs and styles, and all are reasonably priced considering that they are hand made - and the quality is top-notch! I could have spent hours in this store, and I'd love to come back someday if I find myself in Venice again. Thank you for our favorite gifts from Italy!",03-09-2022 19:09,,,,0.9805
Magic Venice Carnival,45.43528,12.35306,ChIJ61lLBdixfkcR2X63a6rGu98,Yuxin Liu,5,Strongly recommended for someone who visit Venice and is interested in hand-made local souvenirs. Everything inside is amazingly beautiful. The owners are very patient and helpful. Will visit this shop again next time in Venice!!,07-06-2023 21:16,,,,0.9252
Magic Venice Carnival,45.43528,12.35306,ChIJ61lLBdixfkcR2X63a6rGu98,Hui Carmen,5,"I had a wonderful shopping experience! The TriAngel is beautifully crafted with intricate details. The costume is stunning, and its facial expression is lively and warm. The seller was incredibly kind, even including a small Christmas gift for me. I wish the shop all the best and will definitely recommend it to my friends for purchasing TriAngels!",17-12-2024 13:15,,,,0.9889
