source,target,value
Art Biennale,creative_expression,1
Carnival,creative_expression,2
Marathon,creative_expression,1
Open Studio Venice,creative_expression,1
Photography Exhibition,creative_expression,1
Venice Artist Residencies,creative_expression,1
Architecture Biennale,heritage,25
Art Biennale,heritage,10
Carnival,heritage,8
Marathon,heritage,6
Open Arsenale,heritage,1
Open Studio Venice,heritage,15
Photography Exhibition,heritage,6
Rialto Market Events,heritage,10
Venice Artist Residencies,heritage,6
Venice Fashion Week,heritage,6
Venice Glass Week,heritage,11
Regata Storica,heritage,1
Blessing of the Gondolas,heritage,1
Feast of St. George,ritual,1
Blessing of the Gondolas,ritual,1
Architecture Biennale,ritual,9
Art Biennale,ritual,3
Biennale Danza,ritual,1
Carnival,ritual,2
Fondazione Venezia,ritual,1
Marathon,ritual,10
Open Studio Venice,ritual,12
Photography Exhibition,ritual,5
Rialto Market Events,ritual,6
Venice Artist Residencies,ritual,16
Venice Fashion Week,ritual,6
Venice Glass Week,ritual,5
Festa del Redentore,ritual,1
Biennale Teatro,performance,1
Architecture Biennale,performance,4
Art Biennale,performance,7
Carnival,performance,2
Marathon,performance,7
Open Arsenale,performance,5
Open Studio Venice,performance,10
Photography Exhibition,performance,5
Rialto Market Events,performance,3
Venice Artist Residencies,performance,10
Venice Fashion Week,performance,7
Venice Glass Week,performance,5
Architecture Biennale,identity,8
Art Biennale,identity,4
Carnival,identity,3
Marathon,identity,1
Open Studio Venice,identity,7
Photography Exhibition,identity,3
Rialto Market Events,identity,2
Venice Artist Residencies,identity,3
Venice Fashion Week,identity,3
Venice Glass Week,identity,7
Feast of St. George,identity,1
Festa della Sensa,tradition,1
Architecture Biennale,tradition,13
Art Biennale,tradition,5
Biennale Musica,tradition,1
Carnival,tradition,2
Fondazione Venezia,tradition,1
Jewish Venice Festival,tradition,23
Marathon,tradition,3
Open Studio Venice,tradition,15
Photography Exhibition,tradition,6
Rialto Market Events,tradition,4
Venice Artist Residencies,tradition,3
Venice Fashion Week,tradition,9
Venice Glass Week,tradition,8
Acqua Alta Cultural Practices,tradition,1
Biennale Teatro,representation,1
Architecture Biennale,representation,17
Art Biennale,representation,13
Carnival,representation,10
Marathon,representation,3
Open Studio Venice,representation,6
Photography Exhibition,representation,5
Rialto Market Events,representation,2
Venice Artist Residencies,representation,6
Venice Fashion Week,representation,5
Venice Glass Week,representation,11
Architecture Biennale,symbolism,17
Art Biennale,symbolism,5
Biennale Musica,symbolism,1
Biennale Teatro,symbolism,3
Carnival,symbolism,5
Marathon,symbolism,10
Open Arsenale,symbolism,5
Open Studio Venice,symbolism,7
Photography Exhibition,symbolism,3
Rialto Market Events,symbolism,3
Venice Artist Residencies,symbolism,16
Venice Fashion Week,symbolism,15
Venice Glass Week,symbolism,10
Architecture Biennale,cultural_participation,1
Venice Glass Week,cultural_participation,1
Architecture Biennale,spectatorship,1
Art Biennale,spectatorship,5
Biennale Danza,spectatorship,1
Marathon,spectatorship,4
Open Arsenale,spectatorship,1
Open Studio Venice,spectatorship,8
Photography Exhibition,spectatorship,2
Rialto Market Events,spectatorship,4
Venice Artist Residencies,spectatorship,3
Venice Fashion Week,spectatorship,7
Venice Glass Week,spectatorship,3
Christmas in Venice,spectatorship,1
Open Studio Venice,carnivalization,1
Art Biennale,authenticity,1
Open Studio Venice,authenticity,6
Photography Exhibition,authenticity,1
Rialto Market Events,authenticity,6
Venice Fashion Week,authenticity,3
Venice Glass Week,authenticity,1
Venice Food Festival ,authenticity,1
Venice Food Festival ,tourism,1
Christmas in Venice,tourism,1
Architecture Biennale,tourism,2
Art Biennale,tourism,2
Carnival,tourism,2
Marathon,tourism,3
Open Arsenale,tourism,1
Open Studio Venice,tourism,6
Photography Exhibition,tourism,1
Rialto Market Events,tourism,3
Venice Artist Residencies,tourism,1
Venice Fashion Week,tourism,1
Venice Glass Week,tourism,3
Photography Exhibition,global_brands,1
Rialto Market Events,global_brands,4
Venice Glass Week,global_brands,2
Architecture Biennale,consumption,5
Art Biennale,consumption,1
Carnival,consumption,1
Marathon,consumption,2
Open Studio Venice,consumption,11
Photography Exhibition,consumption,2
Rialto Market Events,consumption,1
Venice Artist Residencies,consumption,5
Venice Fashion Week,consumption,4
Venice Glass Week,consumption,3
Venice Food Festival,local_business,1
Biennale Danza,local_business,1
Carnival,local_business,1
Open Studio Venice,local_business,5
Venice Glass Week,local_business,1
Open Studio Venice,community_economy,2
Architecture Biennale,commercialization,1
Art Biennale,commercialization,1
Art Biennale,creative_industry,2
Carnival,creative_industry,2
Open Studio Venice,creative_industry,3
Photography Exhibition,creative_industry,1
Venice Fashion Week,creative_industry,1
Venice Glass Week,creative_industry,2
Architecture Biennale,urban_regeneration,3
Carnival,urban_regeneration,1
Venice Fashion Week,urban_regeneration,1
Architecture Biennale,infrastructure,6
Art Biennale,infrastructure,1
Carnival,infrastructure,1
Marathon,infrastructure,2
Open Studio Venice,infrastructure,2
Rialto Market Events,infrastructure,1
Venice Artist Residencies,infrastructure,2
Venice Fashion Week,infrastructure,2
Venice Glass Week,infrastructure,3
MOSE Open Day,infrastructure,1
Architecture Biennale,lagoon,3
Art Biennale,lagoon,3
Carnival,lagoon,2
Fondazione Venezia,lagoon,1
Marathon,lagoon,1
Open Studio Venice,lagoon,2
